unadjusted_close,ticker_symbol,datetime,split,dividend,backward_adj_close
308.7,TSLA,2019-01-30,1.0,0.0,20.58
307.04999999999995,TSLA,2019-01-31,1.0,0.0,20.47
312.15,TSLA,2019-02-01,1.0,0.0,20.81
312.9,TSLA,2019-02-04,1.0,0.0,20.86
321.3,TSLA,2019-02-05,1.0,0.0,21.42
317.25,TSLA,2019-02-06,1.0,0.0,21.15
307.5,TSLA,2019-02-07,1.0,0.0,20.5
305.85,TSLA,2019-02-08,1.0,0.0,20.39
312.9,TSLA,2019-02-11,1.0,0.0,20.86
311.84999999999997,TSLA,2019-02-12,1.0,0.0,20.79
308.09999999999997,TSLA,2019-02-13,1.0,0.0,20.54
303.75,TSLA,2019-02-14,1.0,0.0,20.25
307.95000000000005,TSLA,2019-02-15,1.0,0.0,20.53
305.7,TSLA,2019-02-19,1.0,0.0,20.38
302.55,TSLA,2019-02-20,1.0,0.0,20.17
291.3,TSLA,2019-02-21,1.0,0.0,19.42
294.75,TSLA,2019-02-22,1.0,0.0,19.65
298.8,TSLA,2019-02-25,1.0,0.0,19.92
297.9,TSLA,2019-02-26,1.0,0.0,19.86
314.7,TSLA,2019-02-27,1.0,0.0,20.98
319.95,TSLA,2019-02-28,1.0,0.0,21.33
294.75,TSLA,2019-03-01,1.0,0.0,19.65
285.3,TSLA,2019-03-04,1.0,0.0,19.02
276.6,TSLA,2019-03-05,1.0,0.0,18.44
276.3,TSLA,2019-03-06,1.0,0.0,18.42
276.6,TSLA,2019-03-07,1.0,0.0,18.44
284.1,TSLA,2019-03-08,1.0,0.0,18.94
290.85,TSLA,2019-03-11,1.0,0.0,19.39
283.35,TSLA,2019-03-12,1.0,0.0,18.89
288.90000000000003,TSLA,2019-03-13,1.0,0.0,19.26
289.95,TSLA,2019-03-14,1.0,0.0,19.33
275.4,TSLA,2019-03-15,1.0,0.0,18.36
269.54999999999995,TSLA,2019-03-18,1.0,0.0,17.97
267.45,TSLA,2019-03-19,1.0,0.0,17.83
273.59999999999997,TSLA,2019-03-20,1.0,0.0,18.24
274.05,TSLA,2019-03-21,1.0,0.0,18.27
264.6,TSLA,2019-03-22,1.0,0.0,17.64
260.4,TSLA,2019-03-25,1.0,0.0,17.36
267.75,TSLA,2019-03-26,1.0,0.0,17.85
274.8,TSLA,2019-03-27,1.0,0.0,18.32
278.55,TSLA,2019-03-28,1.0,0.0,18.57
279.9,TSLA,2019-03-29,1.0,0.0,18.66
289.20000000000005,TSLA,2019-04-01,1.0,0.0,19.28
285.9,TSLA,2019-04-02,1.0,0.0,19.06
291.75,TSLA,2019-04-03,1.0,0.0,19.45
267.75,TSLA,2019-04-04,1.0,0.0,17.85
274.95,TSLA,2019-04-05,1.0,0.0,18.33
273.15000000000003,TSLA,2019-04-08,1.0,0.0,18.21
272.25,TSLA,2019-04-09,1.0,0.0,18.15
276.0,TSLA,2019-04-10,1.0,0.0,18.4
268.35,TSLA,2019-04-11,1.0,0.0,17.89
267.75,TSLA,2019-04-12,1.0,0.0,17.85
266.40000000000003,TSLA,2019-04-15,1.0,0.0,17.76
273.29999999999995,TSLA,2019-04-16,1.0,0.0,18.22
271.2,TSLA,2019-04-17,1.0,0.0,18.08
273.29999999999995,TSLA,2019-04-18,1.0,0.0,18.22
262.8,TSLA,2019-04-22,1.0,0.0,17.52
263.85,TSLA,2019-04-23,1.0,0.0,17.59
258.59999999999997,TSLA,2019-04-24,1.0,0.0,17.24
247.65000000000003,TSLA,2019-04-25,1.0,0.0,16.51
235.2,TSLA,2019-04-26,1.0,0.0,15.68
241.50000000000003,TSLA,2019-04-29,1.0,0.0,16.1
238.65,TSLA,2019-04-30,1.0,0.0,15.91
234.0,TSLA,2019-05-01,1.0,0.0,15.6
244.04999999999998,TSLA,2019-05-02,1.0,0.0,16.27
255.0,TSLA,2019-05-03,1.0,0.0,17.0
255.29999999999998,TSLA,2019-05-06,1.0,0.0,17.02
247.04999999999998,TSLA,2019-05-07,1.0,0.0,16.47
244.8,TSLA,2019-05-08,1.0,0.0,16.32
241.95,TSLA,2019-05-09,1.0,0.0,16.13
239.55,TSLA,2019-05-10,1.0,0.0,15.97
226.95000000000002,TSLA,2019-05-13,1.0,0.0,15.13
232.35,TSLA,2019-05-14,1.0,0.0,15.49
231.9,TSLA,2019-05-15,1.0,0.0,15.46
228.3,TSLA,2019-05-16,1.0,0.0,15.22
211.05,TSLA,2019-05-17,1.0,0.0,14.07
205.35,TSLA,2019-05-20,1.0,0.0,13.69
205.05,TSLA,2019-05-21,1.0,0.0,13.67
192.75,TSLA,2019-05-22,1.0,0.0,12.85
195.45,TSLA,2019-05-23,1.0,0.0,13.03
190.65,TSLA,2019-05-24,1.0,0.0,12.71
188.7,TSLA,2019-05-28,1.0,0.0,12.58
189.9,TSLA,2019-05-29,1.0,0.0,12.66
188.25,TSLA,2019-05-30,1.0,0.0,12.55
185.1,TSLA,2019-05-31,1.0,0.0,12.34
178.95,TSLA,2019-06-03,1.0,0.0,11.93
