unadjusted_close,ticker_symbol,datetime,split,dividend,forward_adj_close
119.26,AAPL,2020-11-13,1.0,0.0,495.75
120.3,AAPL,2020-11-16,1.0,0.0,500.07
119.39,AAPL,2020-11-17,1.0,0.0,496.29
118.03,AAPL,2020-11-18,1.0,0.0,490.63
118.64,AAPL,2020-11-19,1.0,0.0,493.17
117.34,AAPL,2020-11-20,1.0,0.0,487.76
113.85,AAPL,2020-11-23,1.0,0.0,473.26
115.17,AAPL,2020-11-24,1.0,0.0,478.74
116.03,AAPL,2020-11-25,1.0,0.0,482.32
116.59,AAPL,2020-11-27,1.0,0.0,484.65
119.05,AAPL,2020-11-30,1.0,0.0,494.87
122.72,AAPL,2020-12-01,1.0,0.0,510.13
123.08,AAPL,2020-12-02,1.0,0.0,511.62
122.94,AAPL,2020-12-03,1.0,0.0,511.04
122.25,AAPL,2020-12-04,1.0,0.0,508.17
123.75,AAPL,2020-12-07,1.0,0.0,514.41
124.38,AAPL,2020-12-08,1.0,0.0,517.03
121.78,AAPL,2020-12-09,1.0,0.0,506.22
123.24,AAPL,2020-12-10,1.0,0.0,512.29
122.41,AAPL,2020-12-11,1.0,0.0,508.84
121.78,AAPL,2020-12-14,1.0,0.0,506.22
127.88,AAPL,2020-12-15,1.0,0.0,531.58
127.81,AAPL,2020-12-16,1.0,0.0,531.29
128.7,AAPL,2020-12-17,1.0,0.0,534.99
126.66,AAPL,2020-12-18,1.0,0.0,526.51
128.23,AAPL,2020-12-21,1.0,0.0,533.03
131.88,AAPL,2020-12-22,1.0,0.0,548.2
130.96,AAPL,2020-12-23,1.0,0.0,544.38
131.97,AAPL,2020-12-24,1.0,0.0,548.58
136.69,AAPL,2020-12-28,1.0,0.0,568.2
134.87,AAPL,2020-12-29,1.0,0.0,560.63
133.72,AAPL,2020-12-30,1.0,0.0,555.85
132.69,AAPL,2020-12-31,1.0,0.0,551.57
129.41,AAPL,2021-01-04,1.0,0.0,537.94
131.01,AAPL,2021-01-05,1.0,0.0,544.59
126.6,AAPL,2021-01-06,1.0,0.0,526.26
130.92,AAPL,2021-01-07,1.0,0.0,544.21
132.05,AAPL,2021-01-08,1.0,0.0,548.91
128.98,AAPL,2021-01-11,1.0,0.0,536.15
128.8,AAPL,2021-01-12,1.0,0.0,535.4
130.89,AAPL,2021-01-13,1.0,0.0,544.09
128.91,AAPL,2021-01-14,1.0,0.0,535.86
127.14,AAPL,2021-01-15,1.0,0.0,528.5
127.83,AAPL,2021-01-19,1.0,0.0,531.37
132.03,AAPL,2021-01-20,1.0,0.0,548.83
136.87,AAPL,2021-01-21,1.0,0.0,568.95
139.07,AAPL,2021-01-22,1.0,0.0,578.09
142.92,AAPL,2021-01-25,1.0,0.0,594.1
143.16,AAPL,2021-01-26,1.0,0.0,595.09
142.06,AAPL,2021-01-27,1.0,0.0,590.52
137.09,AAPL,2021-01-28,1.0,0.0,569.86
131.96,AAPL,2021-01-29,1.0,0.0,548.54
134.14,AAPL,2021-02-01,1.0,0.0,557.6
134.99,AAPL,2021-02-02,1.0,0.0,561.13
133.94,AAPL,2021-02-03,1.0,0.0,556.77
137.39,AAPL,2021-02-04,1.0,0.0,571.11
136.76,AAPL,2021-02-05,1.0,0.205,568.49
136.91,AAPL,2021-02-08,1.0,0.0,569.97
136.01,AAPL,2021-02-09,1.0,0.0,566.22
135.39,AAPL,2021-02-10,1.0,0.0,563.64
135.13,AAPL,2021-02-11,1.0,0.0,562.56
135.37,AAPL,2021-02-12,1.0,0.0,563.56
133.19,AAPL,2021-02-16,1.0,0.0,554.48
130.84,AAPL,2021-02-17,1.0,0.0,544.7
129.71,AAPL,2021-02-18,1.0,0.0,539.99
129.87,AAPL,2021-02-19,1.0,0.0,540.66
126.0,AAPL,2021-02-22,1.0,0.0,524.55
125.86,AAPL,2021-02-23,1.0,0.0,523.96
125.35,AAPL,2021-02-24,1.0,0.0,521.84
120.99,AAPL,2021-02-25,1.0,0.0,503.69
121.26,AAPL,2021-02-26,1.0,0.0,504.81
127.79,AAPL,2021-03-01,1.0,0.0,532.0
125.12,AAPL,2021-03-02,1.0,0.0,520.88
122.06,AAPL,2021-03-03,1.0,0.0,508.15
120.13,AAPL,2021-03-04,1.0,0.0,500.11
121.42,AAPL,2021-03-05,1.0,0.0,505.48
116.36,AAPL,2021-03-08,1.0,0.0,484.42
121.09,AAPL,2021-03-09,1.0,0.0,504.11
119.98,AAPL,2021-03-10,1.0,0.0,499.49
121.96,AAPL,2021-03-11,1.0,0.0,507.73
121.03,AAPL,2021-03-12,1.0,0.0,503.86
123.99,AAPL,2021-03-15,1.0,0.0,516.18
125.57,AAPL,2021-03-16,1.0,0.0,522.76
124.76,AAPL,2021-03-17,1.0,0.0,519.39
120.53,AAPL,2021-03-18,1.0,0.0,501.78
119.99,AAPL,2021-03-19,1.0,0.0,499.53
123.39,AAPL,2021-03-22,1.0,0.0,513.68
122.54,AAPL,2021-03-23,1.0,0.0,510.14
120.09,AAPL,2021-03-24,1.0,0.0,499.94
120.59,AAPL,2021-03-25,1.0,0.0,502.03
121.21,AAPL,2021-03-26,1.0,0.0,504.61
121.39,AAPL,2021-03-29,1.0,0.0,505.36
119.9,AAPL,2021-03-30,1.0,0.0,499.15
122.15,AAPL,2021-03-31,1.0,0.0,508.52
123.0,AAPL,2021-04-01,1.0,0.0,512.06
125.9,AAPL,2021-04-05,1.0,0.0,524.13
126.21,AAPL,2021-04-06,1.0,0.0,525.42
127.9,AAPL,2021-04-07,1.0,0.0,532.46
130.36,AAPL,2021-04-08,1.0,0.0,542.7
133.0,AAPL,2021-04-09,1.0,0.0,553.69
131.24,AAPL,2021-04-12,1.0,0.0,546.36
134.43,AAPL,2021-04-13,1.0,0.0,559.64
132.03,AAPL,2021-04-14,1.0,0.0,549.65
134.5,AAPL,2021-04-15,1.0,0.0,559.93
134.16,AAPL,2021-04-16,1.0,0.0,558.52
134.84,AAPL,2021-04-19,1.0,0.0,561.35
133.11,AAPL,2021-04-20,1.0,0.0,554.15
133.5,AAPL,2021-04-21,1.0,0.0,555.77
131.94,AAPL,2021-04-22,1.0,0.0,549.28
134.32,AAPL,2021-04-23,1.0,0.0,559.18
134.72,AAPL,2021-04-26,1.0,0.0,560.85
134.39,AAPL,2021-04-27,1.0,0.0,559.48
133.58,AAPL,2021-04-28,1.0,0.0,556.1
133.48,AAPL,2021-04-29,1.0,0.0,555.69
131.46,AAPL,2021-04-30,1.0,0.0,547.28
132.54,AAPL,2021-05-03,1.0,0.0,551.77
127.85,AAPL,2021-05-04,1.0,0.0,532.25
128.1,AAPL,2021-05-05,1.0,0.0,533.29
129.74,AAPL,2021-05-06,1.0,0.0,540.12
130.21,AAPL,2021-05-07,1.0,0.22,542.07
126.85,AAPL,2021-05-10,1.0,0.0,528.98
125.91,AAPL,2021-05-11,1.0,0.0,525.06
122.77,AAPL,2021-05-12,1.0,0.0,511.96
124.97,AAPL,2021-05-13,1.0,0.0,521.14
127.45,AAPL,2021-05-14,1.0,0.0,531.48
126.27,AAPL,2021-05-17,1.0,0.0,526.56
124.85,AAPL,2021-05-18,1.0,0.0,520.64
124.69,AAPL,2021-05-19,1.0,0.0,519.97
127.31,AAPL,2021-05-20,1.0,0.0,530.9
125.43,AAPL,2021-05-21,1.0,0.0,523.06
127.1,AAPL,2021-05-24,1.0,0.0,530.02
126.9,AAPL,2021-05-25,1.0,0.0,529.19
126.85,AAPL,2021-05-26,1.0,0.0,528.98
125.28,AAPL,2021-05-27,1.0,0.0,522.43
124.61,AAPL,2021-05-28,1.0,0.0,519.64
124.28,AAPL,2021-06-01,1.0,0.0,518.26
125.06,AAPL,2021-06-02,1.0,0.0,521.51
123.54,AAPL,2021-06-03,1.0,0.0,515.18
125.89,AAPL,2021-06-04,1.0,0.0,524.98
125.9,AAPL,2021-06-07,1.0,0.0,525.02
126.74,AAPL,2021-06-08,1.0,0.0,528.52
127.13,AAPL,2021-06-09,1.0,0.0,530.15
126.11,AAPL,2021-06-10,1.0,0.0,525.89
127.35,AAPL,2021-06-11,1.0,0.0,531.06
130.48,AAPL,2021-06-14,1.0,0.0,544.12
129.64,AAPL,2021-06-15,1.0,0.0,540.61
130.15,AAPL,2021-06-16,1.0,0.0,542.74
131.79,AAPL,2021-06-17,1.0,0.0,549.58
130.46,AAPL,2021-06-18,1.0,0.0,544.03
132.3,AAPL,2021-06-21,1.0,0.0,551.71
133.98,AAPL,2021-06-22,1.0,0.0,558.71
133.7,AAPL,2021-06-23,1.0,0.0,557.54
133.41,AAPL,2021-06-24,1.0,0.0,556.33
133.11,AAPL,2021-06-25,1.0,0.0,555.08
134.78,AAPL,2021-06-28,1.0,0.0,562.05
